date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:05	5799/5799	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/jquery.unobtrusive-ajax.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/jquery.unobtrusive-ajax.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:06	53841/53841	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/jquery.validate.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/jquery.validate.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:06	16479/16479	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/jquery.validate.unobtrusive.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/jquery.validate.unobtrusive.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:08	44916/44916	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/bootstrap.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/bootstrap.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:08	70141/70141	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/bootstrap-datetimepicker.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/bootstrap-datetimepicker.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:10	1449/1449	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/BxI/ValidationSupportLoading.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/BxI/ValidationSupportLoading.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:10	302937/302937	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/projekktor-1.3.09.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/projekktor-1.3.09.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:11	283501/283501	---M-Z	200	added ('OK')	text/css	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Content/stylesheets/soho/style.css	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Content/stylesheets/soho/style.css	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:11	430289/430289	---M-Z	200	added ('OK')	text/css	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Content/stylesheets/soho/main.css	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Content/stylesheets/soho/main.css	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2012%20Jun%202024%2002:49:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.googletagmanager.com/gtm.175445.delayed	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:12	145305/145305	---M--	200	added ('OK')	image/jpeg	etag:%220cfe3f1a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Content/Images/soho/bcpFondoLogin.jpg	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Content/Images/soho/bcpFondoLogin.jpg	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:13	26564/26564	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2002:49:28%20GMT	https://www.bancaporinternet.bcp.com.bo/Account/BCPKeyForgotten	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Account/BCPKeyForgotten.html	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:13	32908/32908	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2002:49:29%20GMT	https://www.bancaporinternet.bcp.com.bo/Account/BCPKey	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Account/BCPKey.html	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:13	7203/7203	---M--	200	added ('OK')	image/png	etag:%2205b98ac357bda1:0%22	https://www.bancaporinternet.bcp.com.bo/ibk2/Content/Images/soho/close.png	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/ibk2/Content/Images/soho/close.png	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:14	1327/1327	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/borders.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/borders.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:14	5178/5178	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/soho/librerias/js.cookie.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/soho/librerias/js.cookie.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:15	3036/3036	---M-Z	200	added ('OK')	application/javascript	etag:%220fc14f3a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/soho/controlador/IExplorer9.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/soho/controlador/IExplorer9.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:15	6461/6461	---M-Z	200	added ('OK')	application/javascript	etag:%220958e728e0d41:0%22	https://www.bancaporinternet.bcp.com.bo/Scripts/soho/jquery.browser.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Scripts/soho/jquery.browser.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:16	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2012%20Jun%202024%2002:49:48%20GMT	https://www.google.com/recaptcha/api.js	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.google.com/recaptcha/api.js	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:16	49938/49938	---M--	200	added ('OK')	image/jpeg	etag:%220cfe3f1a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Content/Images/soho/banner-proyectos-mente.jpg	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Content/Images/soho/banner-proyectos-mente.jpg	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Jun%202024%2002:49:49%20GMT	http://seal.globalsign.com/SiteSeal/images/gs_noscript_125-50_en.gif	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/seal.globalsign.com/SiteSeal/images/gs_noscript_125-50_en.23.delayed	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
22:48:18	49527/49527	---M--	200	added ('OK')	image/jpeg	etag:%220cfe3f1a7b3da1:0%22	https://www.bancaporinternet.bcp.com.bo/Content/Images/soho/banner-oferta.jpg	D:/SEPTIMO%20SEMESTRE/SEGURIDAD%20DE%20SISTEMAS/WEB3/BCP/www.bancaporinternet.bcp.com.bo/Content/Images/soho/banner-oferta.jpg	(from https://www.bancaporinternet.bcp.com.bo/Account/Login)
